GroupHUMAN_GBM_CSC	GroupHUMAN_GBM	GroupHUMAN_HSC	GroupHUMAN_MACROPHAGES	GroupHUMAN_MONOCYTES	GroupHUMAN_GRANULOCYTES	GroupHUMAN_ESC	GroupHUMAN_IPSC	GroupHUMAN_B_CELLS	GroupHUMAN_NEUTROPHILS	GroupHUMAN_T_CELLS	GroupHUMAN_CD4	GroupHUMAN_CD8	GroupHUMAN_NK_CELLS	GroupHUMAN_DENDRITIC_CELLS	GroupHUMAN_DENDRITIC_CELLS_pDC	GroupHUMAN_FIBROBLASTS	GroupHUMAN_ASTROCYTES	GroupHUMAN_OLIGODENDROCYTES	GroupHUMAN_NEURAL_STEM_CELLS	GroupHUMAN_BREAST_CANCER	GroupHUMAN_AML_KASUMI_CELLS	W_1	W_2	W_3	W_4	W_5	W_6	W_7	W_8	W_9	W_10	W_11	W_12	W_13	W_14	W_15	W_16	W_17	W_18	W_19	W_20	W_21	W_22	W_23	W_24	W_25	W_26	W_27	W_28	W_29	W_30	W_31	W_32	W_33	W_34	W_35	W_36	W_37	W_38	W_39	W_40	W_41	W_42	W_43	W_44	W_45	W_46	W_47	W_48	W_49	W_50
SRR1813558	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.38000210910605	-0.152254701365505	-0.12885368179036	0.0749010578507351	-0.0670667642552296	0.000786597908940611	0.0063274299373523	-0.0924425516074135	-0.0288479748435463	0.198867277328813	0.121407938000798	-0.0460645971470648	-0.0941465080827013	-0.100550281539461	-0.159523217960306	0.0128110329052237	-0.0173338539978497	0.126314314671212	-0.212924772585402	-0.153454827323785	0.0787591447752223	-0.287274950016411	-0.0300850569573011	-0.135531927668875	0.0883624137851037	-0.0452937235527693	0.0260450836468641	0.024453954956283	0.0168195031803403	0.00336199537973046	0.0334174905955497	0.0992199754931083	-0.154647021381912	0.0910485857713836	-0.0444364363449312	-0.0559537703969545	-0.0761492219932321	0.0343030162472976	-0.0111341675610266	-0.0394031091208145	0.0921357483093425	-0.0312029685092015	0.0612961595144061	-0.0691823143648694	0.134929806521887	-0.0222290609990351	-0.113713807847154	0.147368308743791	0.0611200576358143	-0.027529727119607
SRR1813559	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.388803033989493	-0.142122648555504	-0.150424501134945	0.0359495005406177	-0.050691561297144	0.00739259724623869	0.00148519312934812	-0.0962489095101308	-0.0695329604329159	0.162919868729135	0.1203831360737	-0.0455758526828082	-0.169357921868252	-0.0215030026837293	-0.0770425030214005	0.162053514636841	-0.0934153349181862	0.0319919433208839	-0.199132662951174	-0.174334314402546	0.104539276012339	-0.271509832849755	-0.120125436293918	-0.105320242362651	0.0151659173088021	0.010123552962819	0.0214023074843652	-0.0247794537306974	0.00193762217202917	-0.0418098797419271	-0.0420593252682181	0.0298109823513483	-0.105116400537388	0.000365639772867437	-0.0246156173700185	-0.0331968654693759	-0.0787364649815091	0.021935865350116	-0.0535380876897577	-0.0244878340935413	0.0848884192369454	-0.0179367508166078	0.144936334865791	0.00132180158840165	0.063657845954789	-0.0143363314178559	-0.121792286063134	0.0830201008767816	0.0274026147456417	0.0147453699316396
SRR869704	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.346766533815515	-0.108999154070063	-0.170675311104238	0.0693760574331323	-0.0826951739810219	-0.0458772966773934	0.0649735128966104	-0.0836112224720119	0.0997945292087155	0.0936757562987692	0.187807415221475	-0.0333919838589035	-0.0850914173826337	-0.0154783593818519	-0.11380848144255	0.107073271518187	0.0430744975411198	0.142001661665754	-0.192189293029829	-0.0975206991574479	-0.0442117749496745	-0.277089211583817	-0.154835512420146	-0.0800436817544244	0.0128046030834723	-0.0336122167003049	0.0135770983308062	0.0687908423534491	-0.0304488486926177	0.0139169668385288	0.0648474148349479	0.0510575004850328	-0.104053111991433	0.0171474967214218	-0.0770991431308619	-0.0254754789659237	-0.053815486046045	0.0752912779627769	0.0224913830193902	-0.0594007265533494	0.117026325514564	0.0487155274139421	0.0520830617457279	-0.0937235953824457	0.138884314504653	0.0249074780264001	-0.0882141756047549	0.112367680223107	-0.0441918056730114	0.0315319504762237
SRR2175385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.354328547011757	-0.133686520014689	-0.170292413678293	0.0371679706597634	0.0423380066323812	-0.128836351568396	0.0707142909982325	0.101462863967732	0.0793964242313989	0.110125733855382	0.119203355332233	-0.0259495409892128	-0.0957768253481951	-0.0578657003833778	0.0375394362290118	0.122168728436624	-0.121623873303231	0.127317381253372	-0.036647780984839	-0.15069281109121	0.0183435041163947	-0.174375726367349	-0.182387113780685	-0.107519247996938	0.00340394418894761	-0.00697351902018424	-0.0329807067360214	-0.0175944735801253	0.0436135553453372	-0.0132594682895976	0.0517561774761039	0.0506583379286833	-0.0275485337168497	0.0312289729270119	0.0191851838841106	0.0200843065878032	-0.0654947195301477	0.108728422798102	0.162977498639631	-0.0621672633193214	0.150923104461186	-0.0548061482035992	0.0866684958437167	0.0014694937942723	0.016091655953233	0.197940487850702	-0.0403966534726621	0.0636964942609913	-0.0690004873380673	0.0847280874848909
SRR2175386	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.353834984577943	-0.133834572989493	-0.170399035193807	0.0367504333961323	0.0419012056093623	-0.129090076175123	0.0719685939024355	0.100532085111372	0.0799323239505028	0.110163533452471	0.117001000152423	-0.0260900796566952	-0.0956978824310907	-0.0583152323362095	0.0364410909795844	0.122773262421805	-0.122294723427218	0.128005324330039	-0.0365821027655472	-0.149231742956015	0.0188498556124941	-0.175049156124175	-0.182438504891309	-0.109016897476092	0.00230015942100794	-0.00790265929118317	-0.0320401187115137	-0.0174095942190746	0.0392829216538332	-0.0165212637084064	0.051380194610842	0.0501161170792065	-0.0282716608537704	0.0353972710015042	0.0163858941908795	0.0194926887536158	-0.0674754529015956	0.106140687845211	0.163763771787859	-0.0599334396064398	0.154866981466688	-0.0552976139623275	0.0867245347447276	-0.000986733462692	0.0140913084237683	0.193622467515879	-0.039494332593241	0.0619597845294331	-0.0694781528554963	0.0849250550788738
SRR2584798	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.344297932128673	-0.119118822614448	-0.201910783628135	0.0190404024492827	-0.034822718614614	-0.0369574170510394	0.0912202035009838	-0.0243396812200579	0.0752529539973173	0.10958301744355	0.0912155154249714	0.00665136239835015	-0.0920888434534196	-0.0679349186102851	0.0789094749637831	0.284438154442739	-0.0865920574749659	0.0782877059021156	-0.079094188753144	-0.191097228625411	-0.00418158709396146	-0.23856875769721	-0.214045969570626	-0.0718345599054669	-0.167415054355694	-0.0187077689542385	-0.116581546169152	-0.0348538131730992	0.0979797650502494	-0.103110889841624	-0.0512505031325479	0.0115284325820511	-0.0505744155242731	0.0552223096002849	-0.0206864356620963	0.0649236858281419	-0.0740460657879894	0.130505889719387	-0.00730914914929802	-0.0379641895337115	0.0481272694659294	0.0194298324558497	0.0909510776133653	-0.0896589454440699	-0.146825223066866	0.0300306549529925	-0.0441613900667182	0.040561636900525	-0.10241754901781	0.0807453763988766
SRR2584799	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.332768958669855	-0.107413992042048	-0.229692587606197	0.0156761939863177	-0.0471297571781526	-0.0455618177996733	0.10235790225789	-0.0328915768170814	0.0912039373236803	0.103122023373196	0.0756904767177062	0.0282189550457431	-0.103721008450979	-0.0523925901363034	0.0988141066444378	0.278423675259104	-0.0796875003848258	0.0697974658674429	-0.0817586801313002	-0.193467905020834	-0.0218077783556783	-0.249377480308893	-0.220552041340432	-0.0777005459458898	-0.172640981495381	-0.00777891668172977	-0.116121624312501	-0.0347739584164404	0.0857558553479667	-0.10115539904382	-0.0566311599311895	-0.000371871675773519	-0.0316010797827276	0.0450193074105952	-0.0195409413514641	0.0559011434165713	-0.0877699482976387	0.126166596146921	-0.00159165427740828	-0.0346469394421377	0.045117817612806	0.0185104642002691	0.0809578853639422	-0.0827352568493691	-0.152657674784846	0.0317200601948707	-0.0334305869684742	0.0321761457234282	-0.089431393616595	0.0749810279492722
SRR4011057	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.373943596856372	-0.142697347436268	-0.249076104785101	-0.0226483924125039	-0.0451123468498246	-0.0828016987427919	0.0200337446915063	-0.143882907114631	-0.236250677404587	0.176072618411592	0.208419913959475	-0.0914733582567638	-0.248585240848084	0.0252922951308675	-0.113142975710802	0.132582910448511	-0.0304104872114662	0.0682323916317908	-0.035739038865571	-0.0613246425345751	-0.112924286679006	-0.185600005519497	-0.220030726327992	-0.0602601054444804	-0.0615352682138671	0.022195400504148	-0.0679987922068295	-0.0255556679299701	0.0535311995589973	-0.0423720864634236	0.0125867317745486	0.0256004726537368	-0.0183154452612068	0.0123399952199331	0.00280985714985372	0.01867135481773	-0.0855466835749929	0.0885154869803475	0.0249861201141146	-0.0543658882679061	0.0801464196601387	0.0191710970881244	0.0506510797286555	0.00987751811512459	4.76801970442443e-05	0.0254024096465578	-0.0734201057136716	0.0680925465576838	-0.0329219769163493	0.0625999799623761
SRR4011058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.375352078200901	-0.144075580366889	-0.250773527951046	-0.0222086797216185	-0.046603420273393	-0.0842358656114277	0.0200265641323097	-0.143554495447645	-0.2364668204666	0.177928721430808	0.209274350380057	-0.0924439005081305	-0.251223174383838	0.023347249806969	-0.113618234570319	0.133948857723198	-0.0318946510783808	0.0655609741419099	-0.0366419558085027	-0.0621441626721912	-0.112794876499069	-0.18791836678493	-0.219703458667643	-0.0621278445287027	-0.063329129536161	0.0203859384258061	-0.0682622757585848	-0.0263917685415008	0.0540575765306262	-0.0426065706213756	0.0118188252239852	0.0266852111789946	-0.0196984341896851	0.0109446375580745	0.000478793521695672	0.0189844809233725	-0.0845400080547547	0.089300424514684	0.0247597696361795	-0.0547482930563962	0.0812810731757725	0.0155345706100015	0.0499243260372311	0.00466480928001805	0.00113741309626041	0.0249053465872123	-0.0752121442494647	0.0652694697266124	-0.034569694842728	0.059227341481605
SRR4011059	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.371440792843294	-0.141218853322965	-0.257631413875187	-0.0119869541338704	-0.0499524720778722	-0.0774842542885641	0.0218499105421523	-0.138389348615808	-0.230168471963816	0.185099320107115	0.200703313815775	-0.0864889802369573	-0.250308811983108	0.027732539882263	-0.104888185475514	0.13129911431643	-0.0594041828050275	0.0527856211322743	-0.0600642003369354	-0.0750738581929533	-0.0978190390483745	-0.204122964266266	-0.220173522802407	-0.0510252297299388	-0.0648358331064243	0.0217946395989416	-0.0619577501402301	-0.0281928949605076	0.0518692758750273	-0.0514876579836831	1.09938371791685e-05	0.0180956020170846	-0.0097537096411465	0.00037857920129413	0.0120837871615146	0.0138156119971019	-0.0874976206419752	0.0893920140150422	0.0320808309181996	-0.0517359888671622	0.0806846059673291	0.0147794702104909	0.0592168766679303	-0.00388436544592305	-0.00567756001374586	0.0271818714438689	-0.0672578988090152	0.0580101168062857	-0.021535020614444	0.0533408281349332
