sample	group
SRR1813558	HUMAN_GBM_CSC
SRR1813559	HUMAN_GBM_CSC
SRR869704	HUMAN_GBM_CSC
SRR2175385	HUMAN_GBM_CSC
SRR2175386	HUMAN_GBM_CSC
SRR2584798	HUMAN_GBM_CSC
SRR2584799	HUMAN_GBM_CSC
SRR4011057	HUMAN_GBM_CSC
SRR4011058	HUMAN_GBM_CSC
SRR4011059	HUMAN_GBM_CSC
SRR4011060	HUMAN_GBM_CSC
SRR2584790	HUMAN_GBM_CSC
SRR2584792	HUMAN_GBM_CSC
SRR4011061	HUMAN_GBM
SRR4011062	HUMAN_GBM
SRR2188664	HUMAN_GBM
SRR1609728	HUMAN_GBM
SRR1609730	HUMAN_GBM
SRR3313625	HUMAN_GBM
SRR3313628	HUMAN_GBM
SRR3313631	HUMAN_GBM
SRR1633194	HUMAN_GBM
SRR1633195	HUMAN_GBM
SRR4095542	HUMAN_GBM
SRR4095543	HUMAN_GBM
SRR4095544	HUMAN_GBM
SRR3141969	HUMAN_GBM
SRR3141970	HUMAN_GBM
SRR3141971	HUMAN_GBM
SRR3141972	HUMAN_GBM
SRR3141973	HUMAN_GBM
SRR3141974	HUMAN_GBM
SRR3141975	HUMAN_GBM
SRR3141976	HUMAN_GBM
SRR3141977	HUMAN_GBM
SRR3141978	HUMAN_GBM
SRR3141979	HUMAN_GBM
SRR3141980	HUMAN_GBM
SRR3141981	HUMAN_GBM
SRR3141982	HUMAN_GBM
SRR3141983	HUMAN_GBM
SRR3141984	HUMAN_GBM
SRR3141985	HUMAN_GBM
SRR3141986	HUMAN_GBM
SRR3141987	HUMAN_GBM
SRR3141988	HUMAN_GBM
SRR3141989	HUMAN_GBM
SRR3141990	HUMAN_GBM
SRR3141991	HUMAN_GBM
SRR3141992	HUMAN_GBM
SRR3141993	HUMAN_GBM
SRR3141994	HUMAN_GBM
SRR3141995	HUMAN_GBM
SRR3141996	HUMAN_GBM
SRR3141997	HUMAN_GBM
SRR3141998	HUMAN_GBM
SRR3141999	HUMAN_GBM
SRR3142000	HUMAN_GBM
SRR2924169	HUMAN_GBM
SRR2924173	HUMAN_GBM
SRR2016978	HUMAN_GBM
SRR2016979	HUMAN_GBM
SRR2016980	HUMAN_GBM
SRR359291	HUMAN_GBM
SRR2353136	HUMAN_GBM
SRR2353137	HUMAN_GBM
SRR2353138	HUMAN_GBM
SRR2353139	HUMAN_GBM
SRR3039602	HUMAN_HSC
SRR3039608	HUMAN_HSC
SRR1739300	HUMAN_HSC
SRR2040265	HUMAN_HSC
SRR2040266	HUMAN_HSC
SRR1910386	HUMAN_HSC
SRR1842716	HUMAN_MACROPHAGES
SRR1842717	HUMAN_MACROPHAGES
SRR1842718	HUMAN_MACROPHAGES
SRR3402538	HUMAN_MACROPHAGES
SRR3402539	HUMAN_MACROPHAGES
SRR3402540	HUMAN_MACROPHAGES
SRR3402541	HUMAN_MACROPHAGES
SRR3402542	HUMAN_MACROPHAGES
SRR3402543	HUMAN_MACROPHAGES
SRR2005990	HUMAN_MACROPHAGES
SRR2005992	HUMAN_MACROPHAGES
SRR2005994	HUMAN_MACROPHAGES
SRR2939131	HUMAN_MACROPHAGES
SRR2939132	HUMAN_MACROPHAGES
SRR2939133	HUMAN_MACROPHAGES
SRR2939134	HUMAN_MACROPHAGES
SRR2939135	HUMAN_MACROPHAGES
SRR2939136	HUMAN_MACROPHAGES
SRR1289650	HUMAN_MACROPHAGES
SRR1174695	HUMAN_MACROPHAGES
SRR452328	HUMAN_MACROPHAGES
SRR452329	HUMAN_MACROPHAGES
SRR452330	HUMAN_MACROPHAGES
SRR452331	HUMAN_MACROPHAGES
SRR452332	HUMAN_MACROPHAGES
SRR452333	HUMAN_MACROPHAGES
SRR2919782	HUMAN_MONOCYTES
SRR2919783	HUMAN_MONOCYTES
SRR2919784	HUMAN_MONOCYTES
SRR2919785	HUMAN_MONOCYTES
SRR1740042	HUMAN_MONOCYTES
SRR1740070	HUMAN_MONOCYTES
SRR2072602	HUMAN_MONOCYTES
SRR2072606	HUMAN_MONOCYTES
SRR2072610	HUMAN_MONOCYTES
SRR1613933	HUMAN_MONOCYTES
SRR3647475	HUMAN_MONOCYTES
SRR3647489	HUMAN_MONOCYTES
SRR1613937	HUMAN_GRANULOCYTES
SRR4040135	HUMAN_ESC
SRR4040136	HUMAN_ESC
SRR4040137	HUMAN_ESC
SRR4040138	HUMAN_ESC
SRR4040139	HUMAN_ESC
SRR4040140	HUMAN_ESC
SRR4241924	HUMAN_ESC
SRR4241925	HUMAN_ESC
SRR4241926	HUMAN_ESC
SRR4290857	HUMAN_ESC
SRR2069387	HUMAN_ESC
SRR2069388	HUMAN_ESC
SRR2069389	HUMAN_ESC
SRR3713907	HUMAN_ESC
SRR2453315	HUMAN_ESC
SRR2453316	HUMAN_ESC
SRR2453317	HUMAN_ESC
SRR2453328	HUMAN_ESC
SRR2453329	HUMAN_ESC
SRR2453330	HUMAN_ESC
SRR2453331	HUMAN_ESC
SRR3470678	HUMAN_ESC
SRR517997	HUMAN_ESC
SRR2453301	HUMAN_IPSC
SRR2453303	HUMAN_IPSC
SRR2453304	HUMAN_IPSC
SRR2453306	HUMAN_IPSC
SRR2453308	HUMAN_IPSC
SRR2453310	HUMAN_IPSC
SRR2734264	HUMAN_IPSC
SRR2734265	HUMAN_IPSC
SRR2734266	HUMAN_IPSC
SRR2734267	HUMAN_IPSC
SRR2734268	HUMAN_IPSC
SRR2734269	HUMAN_IPSC
SRR2734270	HUMAN_IPSC
SRR2734271	HUMAN_IPSC
SRR1919615	HUMAN_IPSC
SRR3921603	HUMAN_IPSC
SRR3921604	HUMAN_IPSC
SRR3921605	HUMAN_IPSC
SRR1950868	HUMAN_IPSC
SRR1950869	HUMAN_IPSC
SRR1950870	HUMAN_IPSC
SRR1950871	HUMAN_IPSC
SRR1950872	HUMAN_IPSC
SRR1950873	HUMAN_IPSC
SRR1950874	HUMAN_IPSC
SRR1950875	HUMAN_IPSC
SRR1950876	HUMAN_IPSC
SRR1950877	HUMAN_IPSC
SRR1950878	HUMAN_IPSC
SRR4290863	HUMAN_IPSC
SRR2939137	HUMAN_IPSC
SRR2939138	HUMAN_IPSC
SRR2939139	HUMAN_IPSC
SRR2939140	HUMAN_IPSC
SRR2910666	HUMAN_IPSC
SRR2910667	HUMAN_IPSC
SRR4422200	HUMAN_IPSC
SRR4422201	HUMAN_IPSC
SRR1200250	HUMAN_IPSC
SRR1198658	HUMAN_IPSC
SRR1198659	HUMAN_IPSC
SRR1198660	HUMAN_IPSC
SRR2392980	HUMAN_IPSC
SRR2392981	HUMAN_IPSC
SRR4421761	HUMAN_IPSC
SRR4421762	HUMAN_IPSC
SRR517999	HUMAN_IPSC
SRR518000	HUMAN_IPSC
SRR1740034	HUMAN_B_CELLS
SRR1740062	HUMAN_B_CELLS
SRR1613932	HUMAN_B_CELLS
SRR3647474	HUMAN_B_CELLS
SRR3647488	HUMAN_B_CELLS
SRR1740074	HUMAN_NEUTROPHILS
SRR1740046	HUMAN_NEUTROPHILS
SRR1740086	HUMAN_T_CELLS
SRR1740058	HUMAN_T_CELLS
SRR1613934	HUMAN_T_CELLS
SRR1613935	HUMAN_CD4
SRR4454303	HUMAN_CD4
SRR4454304	HUMAN_CD4
SRR4454305	HUMAN_CD4
SRR4454306	HUMAN_CD4
SRR4454307	HUMAN_CD4
SRR4454308	HUMAN_CD4
SRR4454309	HUMAN_CD4
SRR4454310	HUMAN_CD4
SRR4454432	HUMAN_CD4
SRR4454433	HUMAN_CD4
SRR4454434	HUMAN_CD4
